"Date","Adj.Close"
"3/31/1993",1.849489
"4/1/1993",1.859486
"5/3/1993",1.794505
"6/1/1993",1.829494
"7/1/1993",1.794505
"8/2/1993",1.804501
"9/1/1993",1.779508
"10/1/1993",1.802002
"11/1/1993",1.777009
"12/1/1993",1.779508
"1/3/1994",1.742019
"2/1/1994",1.73952
"3/1/1994",1.73952
"4/4/1994",1.734521
"5/2/1994",1.697031
"6/1/1994",1.66454
"7/1/1994",1.627051
"8/1/1994",1.607056
"9/1/1994",1.649544
"10/3/1994",1.719525
"11/1/1994",1.709528
"12/1/1994",1.709528
"1/3/1995",1.722024
"2/1/1995",1.759514
"3/1/1995",1.784507
"4/3/1995",1.744518
"5/1/1995",1.73952
"6/1/1995",1.782007
"7/3/1995",1.754516
"8/1/1995",1.724523
"9/1/1995",1.714527
"10/2/1995",1.709528
"11/1/1995",1.729522
"12/1/1995",1.769511
"1/2/1996",1.849489
"2/1/1996",1.88198
"3/1/1996",1.849489
"4/1/1996",1.841991
"5/1/1996",1.824496
"6/3/1996",1.904474
"7/1/1996",1.88198
"8/1/1996",1.851989
"9/3/1996",1.924468
"10/1/1996",1.914471
"11/1/1996",1.891977
"12/2/1996",1.879481
"1/2/1997",1.864485
"2/3/1997",1.844489
"3/3/1997",1.819497
"4/1/1997",1.821996
"5/1/1997",1.787006
"6/2/1997",1.844489
"7/1/1997",1.849489
"8/1/1997",1.824496
"9/2/1997",1.816998
"10/1/1997",1.749517
"11/3/1997",1.77201
"12/1/1997",1.759514
"1/2/1998",1.77201
"2/2/1998",1.769511
"3/2/1998",1.769511
"4/1/1998",1.804501
"5/1/1998",1.779508
"6/1/1998",1.759514
"7/1/1998",1.742019
"8/3/1998",1.744518
"9/1/1998",1.719525
"10/1/1998",1.667039
"11/2/1998",1.697031
"12/1/1998",1.692032
"1/4/1999",1.674537
"2/1/1999",1.654542
"3/1/1999",1.684535
"4/1/1999",1.669538
"5/3/1999",1.622051
"6/1/1999",1.574565
"7/1/1999",1.609555
"8/2/1999",1.579563
"9/1/1999",1.55207
"10/1/1999",1.55207
"11/1/1999",1.564567
"12/1/1999",1.509583
"1/3/2000",1.564567
"2/1/2000",1.579563
"3/1/2000",1.479591
"4/3/2000",1.454598
"5/1/2000",1.459597
"6/1/2000",1.459597
"7/3/2000",1.494587
"8/1/2000",1.464595
"9/1/2000",1.459597
"10/2/2000",1.419607
"11/1/2000",1.447101
"12/1/2000",1.479591
"1/2/2001",1.504584
"2/1/2001",1.554571
"3/1/2001",1.544573
"4/2/2001",1.544573
"5/1/2001",1.48459
"6/1/2001",1.524579
"7/2/2001",1.539575
"8/1/2001",1.51708
"9/4/2001",1.48459
"10/1/2001",1.442101
"11/1/2001",1.437103
"12/3/2001",1.452098
"1/2/2002",1.502084
"2/4/2002",1.534575
"3/1/2002",1.532077
"4/1/2002",1.514581
"5/1/2002",1.494587
"6/3/2002",1.489588
"7/1/2002",1.524579
"8/1/2002",1.55957
"9/3/2002",1.527078
"10/1/2002",1.504584
"11/1/2002",1.529578
"12/2/2002",1.51958
"1/2/2003",1.51958
"2/3/2003",1.512082
"3/3/2003",1.51958
"4/1/2003",1.544573
"5/1/2003",1.574565
"6/2/2003",1.599558
"7/1/2003",1.644545
"8/1/2003",1.679536
"9/2/2003",1.659541
"10/1/2003",1.649544
"11/3/2003",1.639547
"12/1/2003",1.652043
"1/2/2004",1.66454
"2/2/2004",1.697031
"3/1/2004",1.682035
"4/1/2004",1.689533
"5/3/2004",1.679536
"6/1/2004",1.684535
"7/1/2004",1.66454
"8/2/2004",1.642046
"9/1/2004",1.614554
"10/1/2004",1.659541
"11/1/2004",1.604556
"12/1/2004",1.619552
"1/3/2005",1.589561
"2/1/2005",1.607056
"3/1/2005",1.609555
"4/1/2005",1.589561
"5/2/2005",1.597059
"6/1/2005",1.579563
"7/1/2005",1.602057
"8/1/2005",1.617053
"9/1/2005",1.604556
"10/3/2005",1.569566
"11/1/2005",1.529578
"12/1/2005",1.574565
"1/3/2006",1.569566
"2/1/2006",1.564567
"3/1/2006",1.627051
"4/3/2006",1.632049
"5/1/2006",1.637048
"6/1/2006",1.609555
"7/3/2006",1.644545
"8/1/2006",1.614554
"9/1/2006",1.604556
"10/2/2006",1.602057
"11/1/2006",1.539575
"12/1/2006",1.547072
"1/3/2007",1.574565
"2/1/2007",1.579563
"3/1/2007",1.589561
"4/2/2007",1.599558
"5/1/2007",1.629549
"6/1/2007",1.657043
"7/2/2007",1.714527
"8/1/2007",1.697031
"9/4/2007",1.709528
"10/1/2007",1.669538
"11/1/2007",1.622051
"12/3/2007",1.637048
"1/2/2008",1.627051
"2/1/2008",1.599558
"3/3/2008",1.594559
